ptp,counterbalancing,condition,hidden_pa_img_row_number_across_blocks,mouse_error_mean,mouse_error_sd,mouse_error_n,border_dist_closest,hidden_pa_img_type
sub_007,cb3,schema_4_2,6,40.1626093811346,19.19616454197066,6,all,all_pa
sub_007,cb3,schema_4_2,7,35.34266392791662,16.297822427265032,6,all,all_pa
sub_007,cb3,schema_4_2,8,33.31013686750587,21.112960646164428,6,all,all_pa
sub_007,cb3,schema_4_4,1,110.31674316147031,70.01049085665316,6,all,all_pa
sub_007,cb3,schema_4_4,2,82.79759014552383,39.50996562236092,6,all,all_pa
sub_007,cb3,schema_4_4,3,84.26874534536509,116.65624871972997,6,all,all_pa
sub_007,cb3,schema_4_4,4,37.285843705600804,34.70808795337268,6,all,all_pa
sub_007,cb3,schema_4_4,5,71.73217407411803,43.0137356808864,6,all,all_pa
sub_007,cb3,schema_4_4,6,62.053163050763715,47.65491785051883,6,all,all_pa
sub_007,cb3,schema_4_4,7,34.304653381256536,25.038861309289562,6,all,all_pa
sub_007,cb3,schema_4_4,8,43.55741893926805,26.965616685089124,6,all,all_pa
sub_007,cb3,schema_6_0,1,201.35176012895607,111.74612258048265,6,all,all_pa
sub_007,cb3,schema_6_0,2,49.773625250224086,26.042618861865382,6,all,all_pa
sub_007,cb3,schema_6_0,3,34.64614767909675,25.259529400483874,6,all,all_pa
sub_007,cb3,schema_6_0,4,39.896788369293425,24.52988867955114,6,all,all_pa
sub_007,cb3,schema_6_0,5,31.97977506731778,23.837029589520956,6,all,all_pa
sub_007,cb3,schema_6_0,6,51.705244768353126,42.946885893285085,6,all,all_pa
sub_007,cb3,schema_6_0,7,31.581020614364895,16.872068645843893,6,all,all_pa
sub_007,cb3,schema_6_0,8,26.281800062415584,18.27197470279549,6,all,all_pa
sub_008,cb2,schema_2_2,1,193.93551671688726,98.56388436404166,6,all,all_pa
sub_008,cb2,schema_2_2,2,158.4675675379596,73.98936187281315,6,all,all_pa
sub_008,cb2,schema_2_2,3,104.97349068024953,57.58944459975038,6,all,all_pa
sub_008,cb2,schema_2_2,4,91.94357460026256,55.17062313128772,6,all,all_pa
sub_008,cb2,schema_2_2,5,75.29027343789268,67.00306836108524,6,all,all_pa
sub_008,cb2,schema_2_2,6,113.79203099512776,78.04009733738225,6,all,all_pa
